Species,Fishing.Area,Month,Weight.g,Length.cm,Width.cm,Height.cm,Age.years,Quality.Score,Season.Availability,Cost.TL,Wind.Speed.kmh,Sea.Surface.Temp.C,Active.Fishing.Days,Production.Volume.tonnes,Fishing.Ban.Flag,Price.TL
Lüfer (Bluefish),Aegean Sea,12,562.55,32.06,4.54,4.45,4,99.46,0.49,63.44,74.86,24.03,10,1836.93,0,294.93
İstavrit (Horse Mackerel),Aegean Sea,4,251.79,14.27,2.79,2.58,12,86.03,0.41,47.47,14.9,18.56,25,4085.65,0,180.0
Levrek (Sea Bass),Mediterranean Sea,3,488.09,30.07,2.94,3.32,8,85.99,0.47,59.68,30.2,20.41,22,2439.72,0,253.99
Palamut (Bonito),Mediterranean Sea,8,567.43,31.66,4.47,4.67,16,90.88,0.72,59.17,57.6,24.8,10,938.12,0,319.94
Çipura (Sea Bream),Mediterranean Sea,10,370.08,22.71,3.18,2.59,15,94.08,0.43,42.92,62.7,22.77,11,2006.87,0,180.0
Hamsi (Anchovy),Marmara Sea,1,152.24,10.32,1.45,1.54,6,93.64,0.83,38.48,5.98,23.14,27,2344.64,0,381.12
Lüfer (Bluefish),Black Sea,4,500.1,26.43,4.64,4.3,13,96.49,0.73,56.5,35.41,13.1,18,1993.93,0,301.75
Palamut (Bonito),Mediterranean Sea,5,774.49,45.77,6.54,6.02,19,84.46,0.36,67.96,39.99,16.21,14,2195.94,0,194.8
Çipura (Sea Bream),Mediterranean Sea,4,355.37,21.17,2.68,2.85,17,89.12,0.34,47.26,26.31,22.44,25,4729.29,0,180.0
Lüfer (Bluefish),Marmara Sea,12,481.69,31.15,3.35,3.31,7,90.59,0.58,40.7,48.23,16.65,19,3918.44,0,296.1
Hamsi (Anchovy),Marmara Sea,5,152.79,7.58,1.37,1.34,18,85.96,0.37,47.23,31.72,19.68,18,3155.61,0,180.0
Çipura (Sea Bream),Marmara Sea,6,491.57,29.17,4.02,3.7,6,91.36,0.94,57.4,63.07,22.81,11,1667.37,0,399.93
Levrek (Sea Bass),Aegean Sea,4,597.25,35.22,4.68,4.13,15,98.29,0.63,61.99,49.38,20.64,13,2232.68,0,240.39
Levrek (Sea Bass),Mediterranean Sea,3,556.01,33.84,4.92,4.37,14,92.15,0.45,47.58,55.22,22.01,15,1390.13,0,254.82
Kalkan (Turbot),Black Sea,9,671.47,39.04,5.03,5.54,7,94.09,0.47,58.21,52.47,16.84,12,1150.91,0,295.73
Palamut (Bonito),Marmara Sea,8,695.55,40.07,5.69,5.59,9,100.0,0.4,58.04,37.45,15.59,15,1203.28,0,298.21
Lüfer (Bluefish),Black Sea,9,479.45,31.83,4.03,3.9,19,84.44,0.82,40.27,66.66,12.45,13,2469.53,0,256.28
Palamut (Bonito),Marmara Sea,5,614.21,36.84,4.37,4.23,13,89.46,0.59,47.2,62.42,20.65,10,1562.93,0,326.72
Palamut (Bonito),Black Sea,3,757.51,41.5,5.86,5.95,4,98.07,0.59,53.89,66.24,12.24,10,1589.11,0,358.42
Hamsi (Anchovy),Black Sea,10,100.01,7.46,0.97,1.11,3,99.46,0.31,43.51,74.65,18.45,10,1204.83,0,180.21
Lüfer (Bluefish),Black Sea,6,465.38,26.88,4.33,4.49,13,100.0,0.5,45.54,37.65,15.04,19,3357.55,0,219.35
Lüfer (Bluefish),Mediterranean Sea,10,627.32,38.18,4.76,4.42,17,87.34,0.92,47.31,70.59,17.31,10,808.68,0,363.41
Hamsi (Anchovy),Black Sea,11,116.44,8.4,1.08,1.43,6,98.3,0.97,29.72,43.23,12.7,15,1456.18,0,367.22
Levrek (Sea Bass),Marmara Sea,7,471.38,25.85,3.61,3.57,15,90.34,0.69,45.28,37.55,18.63,17,1697.32,0,241.48
Lüfer (Bluefish),Aegean Sea,1,458.03,25.89,3.92,2.95,4,80.62,0.67,56.36,58.95,14.51,11,1955.15,0,380.19
Lüfer (Bluefish),Marmara Sea,10,666.67,39.48,5.67,5.59,13,100.0,0.86,69.49,41.08,22.57,14,2645.03,0,394.88
Levrek (Sea Bass),Marmara Sea,1,500.55,26.69,4.49,3.32,5,90.8,0.41,42.03,65.37,13.8,10,1180.81,0,235.97
Hamsi (Anchovy),Marmara Sea,10,146.79,7.83,0.38,1.79,9,87.53,0.71,24.5,79.83,15.41,10,1696.87,0,280.73
Kalkan (Turbot),Aegean Sea,7,682.91,37.88,5.48,5.59,14,88.83,0.66,70.75,17.88,12.02,25,5000.0,1,272.21
Palamut (Bonito),Aegean Sea,5,563.47,34.83,4.19,4.83,1,95.63,0.5,57.82,46.11,20.19,15,2268.81,0,351.27
Levrek (Sea Bass),Aegean Sea,1,571.69,32.43,4.85,3.94,9,76.33,0.57,55.77,38.64,13.28,18,3831.78,0,267.44
Çipura (Sea Bream),Marmara Sea,7,579.47,34.88,5.23,4.16,17,96.52,0.83,48.9,66.21,17.69,12,2194.62,0,292.91
Hamsi (Anchovy),Aegean Sea,1,118.46,7.72,1.08,0.82,2,100.0,0.92,28.98,73.23,12.0,10,704.17,0,409.63
Levrek (Sea Bass),Marmara Sea,8,529.49,32.43,5.09,4.32,12,81.2,0.52,59.4,26.72,14.37,22,4045.08,0,231.35
Kalkan (Turbot),Marmara Sea,11,724.29,41.92,5.99,5.27,7,78.26,0.46,66.98,35.92,17.91,15,2962.07,0,248.1
Hamsi (Anchovy),Aegean Sea,8,175.6,10.45,1.32,1.04,13,93.08,0.38,37.32,29.48,14.97,24,3320.01,0,180.0
Lüfer (Bluefish),Mediterranean Sea,11,666.05,36.24,5.07,5.21,13,99.84,0.8,55.2,7.24,26.05,25,3827.84,0,316.35
Hamsi (Anchovy),Aegean Sea,7,136.36,10.85,1.53,1.12,3,100.0,0.62,29.71,66.71,23.46,10,1024.1,0,285.25
Lüfer (Bluefish),Mediterranean Sea,5,654.33,37.78,4.19,5.48,7,79.54,0.7,57.2,6.66,20.76,23,2405.09,0,319.62
Çipura (Sea Bream),Aegean Sea,4,390.58,24.73,2.27,3.03,2,99.95,0.75,39.2,23.6,21.02,24,1967.28,0,360.19
Levrek (Sea Bass),Black Sea,2,566.24,35.23,4.3,3.56,3,97.22,0.3,58.84,43.62,19.41,17,1349.08,0,263.52
Hamsi (Anchovy),Marmara Sea,9,133.3,7.53,1.47,0.64,13,85.82,0.73,40.02,58.49,18.35,14,2398.56,0,253.07
Palamut (Bonito),Black Sea,11,504.07,29.67,4.11,3.52,18,70.01,0.49,46.26,7.57,17.91,28,5000.0,0,180.0
Hamsi (Anchovy),Black Sea,3,169.7,11.48,2.06,0.75,11,85.92,0.66,42.89,17.78,10.73,28,4296.95,0,238.32
Levrek (Sea Bass),Black Sea,5,473.31,27.08,3.67,4.49,14,80.87,0.35,44.03,13.82,9.31,20,3677.89,0,180.0
Hamsi (Anchovy),Marmara Sea,4,132.13,7.29,1.04,0.71,8,80.38,0.75,40.82,75.12,19.63,10,1382.41,0,316.19
Lüfer (Bluefish),Aegean Sea,3,598.57,34.39,4.15,4.34,5,100.0,0.71,48.3,22.16,17.85,24,5000.0,0,340.97
İstavrit (Horse Mackerel),Black Sea,8,326.89,18.78,2.79,3.25,10,84.35,0.45,50.95,26.41,21.52,27,4249.97,1,217.54
Çipura (Sea Bream),Mediterranean Sea,1,518.06,29.91,4.4,4.1,16,83.8,0.43,54.29,32.83,26.61,19,3475.69,0,200.95
Hamsi (Anchovy),Aegean Sea,9,179.84,10.39,1.45,1.09,9,100.0,0.6,24.24,26.78,14.92,24,3641.08,0,233.63
Kalkan (Turbot),Black Sea,4,636.95,35.69,5.05,5.97,3,100.0,0.31,47.36,33.9,14.85,19,3153.92,0,249.91
Palamut (Bonito),Aegean Sea,11,766.63,42.51,6.19,6.1,17,87.67,0.35,63.92,36.8,12.14,20,3867.43,0,223.22
Levrek (Sea Bass),Marmara Sea,12,469.74,24.02,3.77,3.34,4,77.92,0.47,54.22,30.2,15.84,20,3000.51,0,297.0
Palamut (Bonito),Marmara Sea,7,768.23,46.37,6.04,5.82,19,74.27,0.73,66.29,18.75,20.07,22,4231.51,0,238.32
Levrek (Sea Bass),Black Sea,11,546.74,30.33,4.16,3.48,17,88.67,0.6,66.88,13.88,12.03,24,4254.48,0,186.64
Çipura (Sea Bream),Black Sea,6,441.05,27.15,3.27,3.19,16,90.92,0.84,43.98,16.36,10.4,25,4922.11,0,273.01
İstavrit (Horse Mackerel),Marmara Sea,7,236.92,15.06,1.31,1.7,17,77.08,0.56,49.03,6.89,24.55,26,2891.83,0,180.0
Çipura (Sea Bream),Mediterranean Sea,9,377.78,24.45,2.72,3.48,4,100.0,0.5,56.88,76.36,24.43,10,698.92,0,311.39
Lüfer (Bluefish),Aegean Sea,5,562.82,30.89,4.51,4.64,17,80.42,0.51,49.02,61.98,16.71,12,1436.45,0,264.03
Levrek (Sea Bass),Black Sea,12,495.98,28.79,3.77,4.72,4,92.61,0.35,44.25,33.61,15.85,19,2673.78,0,290.21
Çipura (Sea Bream),Black Sea,4,465.45,29.32,3.91,3.95,7,91.48,0.55,62.67,15.54,14.89,25,4079.19,0,292.04
Kalkan (Turbot),Aegean Sea,7,703.77,39.46,5.51,6.19,9,100.0,0.41,56.37,32.54,20.89,19,3998.56,0,231.6
Levrek (Sea Bass),Marmara Sea,8,621.57,34.45,4.61,4.91,5,96.08,0.36,50.91,52.71,20.6,18,3066.24,1,269.2
Palamut (Bonito),Black Sea,8,765.17,43.8,6.22,5.46,19,90.15,0.59,55.95,32.15,18.11,18,2247.96,0,315.27
İstavrit (Horse Mackerel),Mediterranean Sea,10,233.48,16.38,1.7,1.7,16,85.48,0.37,39.55,62.81,24.28,11,1281.41,0,182.16
Palamut (Bonito),Aegean Sea,5,680.66,38.32,5.05,4.69,3,86.28,0.35,59.96,16.7,14.98,26,4394.46,0,234.35
Çipura (Sea Bream),Mediterranean Sea,3,465.42,27.97,4.08,2.79,18,96.49,0.35,56.53,68.03,24.94,10,1130.69,0,223.69
Kalkan (Turbot),Mediterranean Sea,11,632.45,38.47,5.13,4.61,1,89.19,0.43,56.04,67.92,22.58,12,2310.54,0,279.08
Palamut (Bonito),Black Sea,2,535.02,34.24,4.31,4.42,9,88.14,0.48,52.23,71.2,19.71,10,889.61,0,251.17
İstavrit (Horse Mackerel),Aegean Sea,3,330.15,21.21,2.67,2.77,2,99.34,0.57,41.45,10.01,18.13,28,3990.52,0,281.82
Levrek (Sea Bass),Marmara Sea,9,534.97,30.64,4.44,3.33,19,67.88,0.37,49.04,12.66,14.83,24,3895.63,0,180.0
Kalkan (Turbot),Marmara Sea,4,748.61,41.0,6.56,6.03,2,100.0,0.52,70.22,72.49,19.14,10,1532.9,0,376.42
Levrek (Sea Bass),Aegean Sea,10,403.54,22.73,2.74,2.83,2,88.41,0.72,52.07,13.27,13.62,28,4587.83,0,345.25
Çipura (Sea Bream),Aegean Sea,11,452.38,28.32,3.2,3.65,7,93.47,0.68,51.08,11.43,24.7,28,5000.0,0,283.3
Palamut (Bonito),Black Sea,7,547.67,34.49,4.34,4.57,3,77.05,0.68,44.25,57.22,11.86,14,1290.82,0,352.88
Palamut (Bonito),Mediterranean Sea,7,717.91,39.21,5.93,5.27,2,91.11,0.56,61.09,26.12,17.99,18,2151.58,0,355.55
Çipura (Sea Bream),Mediterranean Sea,10,563.95,33.81,3.92,4.57,3,98.44,0.71,67.03,46.43,27.86,14,1997.34,0,369.25
Levrek (Sea Bass),Aegean Sea,4,636.86,34.8,5.07,5.29,18,82.71,0.44,58.36,14.57,18.36,24,4802.66,0,180.0
Palamut (Bonito),Mediterranean Sea,8,791.26,44.47,6.43,5.84,16,92.4,0.55,56.37,72.75,25.89,10,1385.17,0,269.48
Levrek (Sea Bass),Aegean Sea,5,520.73,30.05,4.32,4.25,13,83.48,0.55,46.63,52.05,15.71,14,1970.06,0,232.56
Hamsi (Anchovy),Mediterranean Sea,7,140.56,8.1,1.03,2.12,2,96.98,0.34,33.95,63.65,23.85,13,1990.26,0,213.93
Hamsi (Anchovy),Marmara Sea,4,165.88,10.12,0.96,1.47,14,80.44,0.5,25.95,71.16,24.3,10,1076.32,0,207.51
Levrek (Sea Bass),Aegean Sea,12,594.42,32.94,4.37,4.18,8,97.53,0.3,57.77,71.45,15.27,10,1181.1,0,263.31
Hamsi (Anchovy),Black Sea,9,152.17,7.0,2.1,1.13,14,87.62,0.51,26.98,18.08,8.56,21,4319.35,0,185.93
İstavrit (Horse Mackerel),Marmara Sea,8,268.49,18.35,2.35,1.96,6,94.33,0.34,37.22,6.93,20.96,28,5000.0,0,198.73
Palamut (Bonito),Black Sea,5,526.28,31.73,4.95,4.25,9,100.0,0.46,46.02,37.65,13.74,20,3914.99,0,237.44
Kalkan (Turbot),Aegean Sea,8,680.69,38.94,5.15,5.06,13,99.25,0.49,61.84,75.8,23.2,10,726.98,1,329.25
Çipura (Sea Bream),Black Sea,1,560.92,31.45,4.99,4.78,11,94.86,0.47,54.39,39.35,20.78,21,4458.85,0,224.72
Palamut (Bonito),Black Sea,12,746.23,41.97,4.99,5.8,15,86.26,0.55,60.92,79.38,9.22,10,757.64,0,270.54
Çipura (Sea Bream),Marmara Sea,9,475.32,27.0,3.67,4.13,15,90.67,0.5,46.81,22.93,17.78,19,1704.79,0,241.53
Levrek (Sea Bass),Black Sea,2,695.61,38.0,5.16,5.23,4,90.52,0.58,66.83,57.04,8.49,13,903.69,0,307.19
Hamsi (Anchovy),Marmara Sea,2,144.28,9.17,1.82,1.16,12,98.25,0.87,22.52,59.04,23.36,15,2575.73,0,312.17
Levrek (Sea Bass),Marmara Sea,10,482.84,29.27,3.58,3.58,9,87.55,0.38,48.29,71.76,18.55,10,935.33,0,208.93
Hamsi (Anchovy),Mediterranean Sea,3,177.42,10.85,1.43,1.8,8,100.0,0.6,31.49,20.25,22.43,28,5000.0,0,277.71
Kalkan (Turbot),Marmara Sea,3,767.75,42.34,4.78,5.92,9,93.96,0.44,57.14,22.0,19.13,21,3212.63,0,279.69
Palamut (Bonito),Black Sea,9,699.93,40.37,5.87,5.08,14,98.17,0.45,72.75,33.55,18.01,18,1472.92,0,275.6
Çipura (Sea Bream),Marmara Sea,1,383.79,22.26,3.57,3.28,4,100.0,0.72,34.65,12.69,13.79,27,2649.19,0,336.42
Çipura (Sea Bream),Black Sea,12,400.23,23.27,3.76,3.17,1,100.0,0.69,50.55,6.21,16.84,28,5000.0,0,317.61
Kalkan (Turbot),Mediterranean Sea,2,715.81,39.56,5.94,5.45,18,89.64,0.54,74.27,56.82,27.96,14,983.57,0,257.59
Kalkan (Turbot),Black Sea,8,633.27,36.8,5.71,4.74,9,90.56,0.44,67.16,27.59,19.43,23,2589.09,0,276.28
İstavrit (Horse Mackerel),Black Sea,3,268.55,17.17,2.25,2.61,9,100.0,0.39,32.58,50.57,15.94,11,1012.61,0,217.3
İstavrit (Horse Mackerel),Marmara Sea,8,304.26,20.51,2.35,2.27,15,100.0,0.34,31.99,12.56,13.07,27,2308.36,0,180.0
Çipura (Sea Bream),Mediterranean Sea,1,435.38,25.2,3.79,3.9,10,89.98,0.49,58.3,67.36,17.77,10,986.1,0,246.04
Hamsi (Anchovy),Aegean Sea,11,138.73,7.63,1.67,1.48,6,100.0,0.95,25.09,11.18,21.91,28,4617.41,0,375.18
Lüfer (Bluefish),Aegean Sea,1,584.07,35.82,4.22,4.45,6,100.0,0.36,49.58,60.16,14.07,13,1271.98,0,276.19
Çipura (Sea Bream),Aegean Sea,3,488.86,31.04,3.54,4.36,3,100.0,0.5,63.18,10.86,18.97,25,3629.37,0,248.8
Kalkan (Turbot),Mediterranean Sea,7,650.16,34.19,5.61,5.69,18,75.45,0.52,58.13,11.18,26.2,27,5000.0,0,180.0
İstavrit (Horse Mackerel),Aegean Sea,4,272.21,17.64,2.49,1.85,12,93.62,0.49,33.77,39.53,16.39,22,4772.35,0,180.0
İstavrit (Horse Mackerel),Aegean Sea,10,306.82,18.53,3.06,2.17,14,80.36,0.6,42.01,77.69,23.45,10,798.78,0,229.06
Çipura (Sea Bream),Marmara Sea,11,527.44,29.27,4.81,4.61,15,88.84,0.73,47.43,27.24,17.76,23,3809.51,0,263.23
Levrek (Sea Bass),Marmara Sea,4,689.79,39.11,5.87,5.44,4,80.51,0.39,71.2,47.85,13.27,12,1956.42,0,236.03
Levrek (Sea Bass),Mediterranean Sea,4,579.11,34.73,4.81,5.26,4,90.34,0.75,54.5,22.55,16.33,21,2488.2,0,313.34
İstavrit (Horse Mackerel),Marmara Sea,4,237.35,14.78,1.3,1.86,17,94.93,0.41,48.58,63.56,20.44,11,1996.08,0,180.0
Lüfer (Bluefish),Black Sea,6,460.83,27.64,3.46,3.91,9,97.26,0.62,42.32,9.46,13.32,28,5000.0,0,281.48
Çipura (Sea Bream),Aegean Sea,9,479.73,27.36,4.45,4.33,9,93.59,0.62,58.95,68.46,17.08,10,1304.08,0,297.91
Lüfer (Bluefish),Aegean Sea,4,539.7,30.53,3.84,4.56,6,89.78,0.32,63.77,37.98,19.1,15,1697.78,0,215.71
Hamsi (Anchovy),Mediterranean Sea,8,115.88,7.72,0.63,1.12,12,94.19,0.34,23.19,46.4,22.93,18,3568.81,0,180.0
Çipura (Sea Bream),Marmara Sea,11,359.36,22.29,2.53,2.32,17,91.3,0.37,45.04,7.27,14.23,27,3411.42,0,198.2
Çipura (Sea Bream),Aegean Sea,3,505.78,30.3,4.16,3.95,13,91.96,0.74,50.31,43.56,12.15,22,3795.45,0,278.04
Lüfer (Bluefish),Black Sea,2,472.92,29.25,4.09,3.75,2,100.0,0.57,51.87,6.63,15.97,26,4282.44,0,315.95
Hamsi (Anchovy),Black Sea,6,160.59,7.74,1.37,1.89,6,100.0,0.42,27.54,5.04,14.05,25,2883.08,0,200.99
Levrek (Sea Bass),Aegean Sea,1,433.48,26.09,3.23,3.12,13,90.0,0.44,48.58,57.78,15.95,15,2507.03,0,180.0
Kalkan (Turbot),Aegean Sea,4,767.51,42.41,6.02,6.14,9,73.63,0.44,58.17,76.17,16.47,10,935.86,0,256.86
Çipura (Sea Bream),Aegean Sea,11,438.71,27.95,3.84,3.29,12,82.43,0.44,38.12,44.76,13.8,15,1829.14,0,221.94
Palamut (Bonito),Aegean Sea,4,715.12,40.98,5.1,5.61,4,100.0,0.58,60.86,75.96,17.96,10,1637.29,0,334.01
İstavrit (Horse Mackerel),Mediterranean Sea,3,226.23,13.8,1.73,2.3,18,72.76,0.66,50.98,55.46,18.29,13,1252.97,0,206.23
Hamsi (Anchovy),Black Sea,10,179.24,11.93,1.23,1.84,12,80.29,0.58,27.25,6.03,20.29,28,5000.0,0,180.0
Levrek (Sea Bass),Marmara Sea,7,521.5,30.09,4.28,4.23,10,100.0,0.45,41.94,41.92,12.96,12,1572.01,0,261.34
Çipura (Sea Bream),Marmara Sea,5,435.47,26.15,3.62,3.03,16,91.8,0.36,52.26,16.48,15.97,22,4842.76,0,180.0
Kalkan (Turbot),Mediterranean Sea,2,634.0,34.94,5.03,5.18,10,91.09,0.48,49.96,32.57,21.64,19,3889.26,0,246.59
Hamsi (Anchovy),Black Sea,4,118.35,5.85,1.36,0.67,19,67.11,0.5,34.61,5.26,12.5,25,4402.41,0,180.0
Lüfer (Bluefish),Aegean Sea,2,528.63,28.5,3.64,4.69,15,93.39,0.44,54.7,55.59,14.81,13,2330.39,0,207.04
Kalkan (Turbot),Marmara Sea,7,618.52,38.28,5.31,4.43,15,100.0,0.74,68.38,63.9,16.56,15,2209.39,0,324.71
Hamsi (Anchovy),Black Sea,1,101.7,6.55,0.11,0.58,7,99.87,0.82,43.45,73.3,18.71,10,1615.0,0,324.32
Lüfer (Bluefish),Marmara Sea,3,616.02,36.32,5.09,3.93,17,92.45,0.58,49.91,53.55,24.72,15,1921.08,0,268.78
Lüfer (Bluefish),Marmara Sea,5,683.63,39.37,5.0,4.75,5,91.9,0.42,56.85,66.72,17.94,10,909.85,0,304.73
Lüfer (Bluefish),Aegean Sea,10,504.38,29.34,3.69,4.4,10,90.1,0.84,48.04,65.52,18.48,14,1176.6,0,351.25
Lüfer (Bluefish),Aegean Sea,12,664.54,40.53,5.36,4.77,6,99.74,0.4,56.36,22.19,18.85,23,5000.0,0,273.97
Lüfer (Bluefish),Black Sea,5,617.36,34.41,4.57,4.8,2,92.58,0.66,64.9,45.91,8.54,17,2971.2,0,358.97
Çipura (Sea Bream),Black Sea,8,396.43,25.71,2.85,2.89,2,100.0,0.81,49.3,26.38,19.48,21,3399.9,0,367.4
Hamsi (Anchovy),Aegean Sea,9,173.65,9.47,1.3,1.76,3,82.4,0.33,46.86,63.49,20.26,12,1108.35,0,233.72
Hamsi (Anchovy),Black Sea,5,131.45,7.37,0.75,0.91,4,95.91,0.41,37.81,28.84,20.62,21,3788.35,0,244.25
Lüfer (Bluefish),Marmara Sea,7,695.29,38.3,6.08,5.49,4,100.0,0.36,72.55,57.81,12.27,12,1724.82,0,291.37
Çipura (Sea Bream),Marmara Sea,5,414.52,26.48,3.55,3.43,3,100.0,0.65,47.62,17.72,20.1,23,2383.36,0,355.54
Lüfer (Bluefish),Black Sea,9,591.92,32.67,4.49,4.86,5,100.0,0.81,59.56,45.3,13.88,16,2432.11,0,396.94
Palamut (Bonito),Aegean Sea,2,601.34,33.31,5.43,4.42,3,97.96,0.71,45.83,78.8,17.86,10,1394.75,0,348.42
Levrek (Sea Bass),Marmara Sea,1,418.94,23.88,3.38,3.83,14,97.0,0.63,46.15,25.61,24.78,20,2081.83,0,248.05
Palamut (Bonito),Aegean Sea,4,593.98,35.58,4.9,4.75,7,85.02,0.45,58.43,11.66,20.57,25,3208.1,0,322.96
Levrek (Sea Bass),Mediterranean Sea,10,520.43,29.79,4.38,3.95,11,83.56,0.5,47.38,13.63,27.62,26,5000.0,0,180.0
Hamsi (Anchovy),Mediterranean Sea,4,140.04,8.04,1.18,1.35,16,85.92,0.74,27.68,72.23,21.23,10,1456.38,0,223.68
Çipura (Sea Bream),Marmara Sea,6,509.6,30.91,3.62,3.89,13,91.77,0.95,50.06,34.6,24.0,17,1751.69,0,386.24
Hamsi (Anchovy),Mediterranean Sea,10,122.31,8.26,1.03,1.4,3,85.24,0.44,29.06,72.36,22.85,10,1807.19,0,222.22
Palamut (Bonito),Marmara Sea,5,572.61,32.87,4.42,3.89,8,94.02,0.62,49.38,77.47,22.32,10,1172.16,0,324.91
Çipura (Sea Bream),Mediterranean Sea,5,355.11,21.94,3.22,3.3,18,81.22,0.67,57.29,23.31,18.97,22,1984.13,0,180.0
Çipura (Sea Bream),Mediterranean Sea,1,534.0,33.14,4.29,4.04,6,100.0,0.62,64.14,70.86,27.7,10,1125.85,0,323.67
İstavrit (Horse Mackerel),Mediterranean Sea,12,312.65,19.23,2.67,2.4,1,100.0,0.73,49.41,40.62,19.94,17,2548.17,0,360.78
Lüfer (Bluefish),Marmara Sea,9,597.56,32.59,4.1,5.23,10,100.0,0.87,65.3,47.93,14.24,13,1927.22,0,401.94
İstavrit (Horse Mackerel),Black Sea,3,353.91,20.59,3.2,3.07,10,92.87,0.72,57.05,55.26,19.86,12,1913.04,0,327.49
Levrek (Sea Bass),Aegean Sea,8,680.42,39.35,5.45,5.17,16,79.2,0.6,54.03,70.61,24.37,10,926.71,0,282.36
Lüfer (Bluefish),Marmara Sea,1,522.26,28.62,4.32,3.71,7,98.96,0.51,62.03,23.64,14.08,21,3972.62,0,309.22
Çipura (Sea Bream),Mediterranean Sea,6,378.7,24.04,2.7,3.28,1,99.49,0.86,55.91,77.83,16.7,10,1851.03,1,451.29
Hamsi (Anchovy),Aegean Sea,12,174.19,12.98,2.03,1.72,14,80.74,0.82,46.13,33.57,16.09,19,1377.33,0,302.1
İstavrit (Horse Mackerel),Marmara Sea,8,212.25,14.57,1.69,2.25,2,98.32,0.38,35.9,17.23,17.83,26,1999.01,1,274.73
Kalkan (Turbot),Marmara Sea,5,624.68,36.3,5.07,5.83,16,96.01,0.54,56.63,18.98,13.78,24,1834.76,0,210.72
İstavrit (Horse Mackerel),Marmara Sea,11,204.51,14.26,1.44,1.41,11,91.67,0.36,47.58,72.88,22.17,10,904.83,0,206.09
Lüfer (Bluefish),Black Sea,8,468.55,27.82,4.78,4.2,16,88.96,0.68,60.1,23.48,10.54,23,4752.16,0,180.0
İstavrit (Horse Mackerel),Marmara Sea,11,281.74,19.28,2.88,2.74,13,87.79,0.67,43.16,73.24,19.31,12,1950.25,0,232.51
Kalkan (Turbot),Black Sea,7,710.69,42.23,5.63,5.45,19,95.29,0.66,61.25,12.74,12.1,26,2175.73,0,288.28
Levrek (Sea Bass),Marmara Sea,1,581.77,36.5,4.64,4.53,6,100.0,0.67,45.53,32.88,14.24,22,4050.14,0,361.75
Hamsi (Anchovy),Marmara Sea,9,122.99,8.71,1.8,0.28,15,82.88,0.32,45.63,31.12,24.35,17,1794.54,0,180.0
İstavrit (Horse Mackerel),Aegean Sea,7,232.98,17.83,1.89,1.92,9,88.65,0.43,37.13,31.52,14.66,19,4017.52,1,213.94
İstavrit (Horse Mackerel),Marmara Sea,8,246.36,15.61,2.07,2.04,8,89.1,0.39,28.23,26.21,18.85,23,2679.69,0,208.0
İstavrit (Horse Mackerel),Marmara Sea,9,229.38,14.63,2.39,2.18,4,88.98,0.62,35.65,63.48,15.09,10,650.45,0,306.97
Lüfer (Bluefish),Black Sea,11,538.82,31.92,4.47,4.32,13,95.19,0.84,49.44,77.88,15.62,10,845.06,0,366.88
Hamsi (Anchovy),Black Sea,7,110.77,3.9,0.57,1.17,10,84.07,0.49,26.09,56.78,18.73,14,1751.71,0,249.87
Çipura (Sea Bream),Aegean Sea,5,424.0,26.39,4.06,4.04,13,92.71,0.73,58.21,69.17,18.51,10,1474.46,0,315.37
Hamsi (Anchovy),Aegean Sea,2,173.01,10.45,1.52,1.18,2,99.13,0.98,28.81,27.68,13.64,20,2710.61,0,392.07
Hamsi (Anchovy),Marmara Sea,9,126.74,7.98,1.12,1.41,4,85.34,0.44,44.79,46.23,16.75,14,1590.81,0,238.27
Palamut (Bonito),Mediterranean Sea,5,593.96,36.37,4.66,4.94,7,100.0,0.7,48.54,54.17,25.28,12,1708.42,0,377.75
Kalkan (Turbot),Aegean Sea,6,799.31,45.22,7.17,6.73,18,97.22,0.35,76.6,20.67,18.61,25,3111.56,0,211.43
Hamsi (Anchovy),Mediterranean Sea,6,156.38,8.59,2.03,1.45,19,69.91,0.46,35.98,33.24,16.72,22,2473.28,0,180.0
Çipura (Sea Bream),Mediterranean Sea,4,425.11,24.23,3.28,3.1,8,90.65,0.56,57.25,34.25,21.45,21,3386.52,0,251.54
Lüfer (Bluefish),Black Sea,3,608.62,33.96,4.51,4.88,10,83.08,0.5,69.42,52.41,8.38,15,1055.1,0,299.87
Kalkan (Turbot),Marmara Sea,8,651.11,39.0,5.07,4.79,16,90.2,0.69,51.18,51.99,12.77,14,2407.31,0,226.62
Kalkan (Turbot),Mediterranean Sea,7,619.49,36.94,4.39,4.78,18,82.44,0.67,66.74,25.28,21.46,21,2018.3,0,243.19
Çipura (Sea Bream),Mediterranean Sea,6,553.84,33.63,4.17,4.49,18,82.15,0.84,56.28,14.81,27.24,26,3125.17,1,259.99
İstavrit (Horse Mackerel),Black Sea,1,209.04,12.21,1.43,1.94,8,93.52,0.57,28.79,29.17,10.07,21,3673.31,0,257.22
Çipura (Sea Bream),Black Sea,5,426.59,27.04,4.27,2.7,19,90.74,0.63,52.67,56.94,20.65,13,1411.56,0,242.25
Levrek (Sea Bass),Black Sea,12,689.85,40.95,5.25,5.43,17,99.01,0.43,57.67,25.32,17.51,21,3173.93,0,194.19
Lüfer (Bluefish),Aegean Sea,9,655.55,35.49,5.24,5.57,12,92.95,0.8,66.88,66.77,20.86,10,1045.07,0,348.23
